;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
A;942;;;
A-C;4;;;
A-K;2;;;
A-M;4;;;
AABA;2;;;
AABDI;3;;;
AABHA;2;;;
AABO;5;;;
AADA;18;;;
AADAM;10;;;
AADAN;44;;;
AADEL;3;;;
AADEN;8;;;
AADHIRA;9;;;
AADHYA;39;;;
AADITRI;4;;;
AADOW;2;;;
AADRIKA;3;;;
AADRITA;2;;;
AADRITI;4;;;
AADVI;2;;;
AADVIKA;8;;;
AADYA;30;;;
AAE;2;;;
AAED;3;;;
AAESHA;4;;;
AAFIA;4;;;
AAFIYA;2;;;
AAFIYAH;2;;;
AAFJE;3;;;
AAFKE;9;;;
AAGAARD;16;;;
AAGJE;3;;;
AAGOT;57;;;
AAGOTH;4;;;
AAGURD;3;;;
AAHANA;7;;;
AAHD;3;;;
AAIDA;4;;;
AAIDAH;4;;;
AAILA;5;;;
AAIMA;7;;;
AAIRA;11;;;
AAIRAH;8;;;
AAISHA;26;;;
AAISHAH;3;;;
AAIZA;3;;;
AAJA;2;;;
AAKANKSHA;9;;;
AAKO;3;;;
AAKOOL;2;;;
AAKRITI;4;;;
AALA;16;;;
AALAA;11;;;
AALEYAH;12;;;
AALI;2;;;
AALIA;18;;;
AALIAH;3;;;
AALIN;3;;;
AALINDA;2;;;
AALIYA;61;;;
AALIYAH;325;;;
AALLOTAR;13;;;
AALTJE;13;;;
AALVIK;5;;;
AALYA;3;;;
AAMAL;2;;;
AAMAND;3;;;
AAMANDA;2;;;
AAMEN;2;;;
AAMENA;5;;;
AAMER;12;;;
AAMIN;2;;;
AAMINA;60;;;
AAMINAH;5;;;
AAMINO;13;;;
AAMIR;7;;;
AAMIRA;4;;;
AAMNA;13;;;
AAMNEH;2;;;
AAMU;8;;;
AAN;7;;;
AANA;4;;;
AANCHAL;2;;;
AANIKA;2;;;
AANNA;3;;;
AANSHI;2;;;
AANVI;6;;;
AANYA;29;;;
AAOUGOTH;3;;;
AARA;4;;;
AARABHI;2;;;
AARADHANA;2;;;
AARADHYA;27;;;
AARATI;3;;;
AARATRIKA;2;;;
AARAVI;4;;;
AAREKOL;2;;;
AAREN;3;;;
AARIA;3;;;
AARICIA;9;;;
AARIFAH;2;;;
AARIKA;4;;;
AARINI;2;;;
AARNA;33;;;
AARNAVI;2;;;
AAROHI;14;;;
AARON;21;;;
AARTHI;7;;;
AARTHY;3;;;
AARTI;23;;;
AARUHI;3;;;
AARUSHI;14;;;
AARVI;9;;;
AARYA;24;;;
AAS;6;;;
AASA;9;;;
AASE;326;;;
AASHA;15;;;
AASHI;3;;;
AASHILD;4;;;
AASHIMA;3;;;
AASHNA;4;;;
AASHO;5;;;
AASHRITA;3;;;
AASHRITHA;6;;;
AASHVI;10;;;
AASIA;12;;;
AASIMA;2;;;
AASIYA;14;;;
AASIYAH;10;;;
