;;;;
Förnamn och antal bärare för folkbokförda män 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
A;1 238;;;
A:SON;6;;;
AABAN;8;;;
AABDI;4;;;
AABED;2;;;
AABEL;2;;;
AABID;4;;;
AABIS;2;;;
AABO;15;;;
AABRAHAM;2;;;
AABY;14;;;
AAD;7;;;
AADAM;29;;;
AADAN;59;;;
AADEL;14;;;
AADEN;12;;;
AADHAV;2;;;
AADHIL;2;;;
AADHIRAN;4;;;
AADHRIT;2;;;
AADHVIK;7;;;
AADI;14;;;
AADIL;17;;;
AADIT;3;;;
AADITHYA;3;;;
AADITYA;6;;;
AADIV;2;;;
AADL;3;;;
AADO;4;;;
AADOLF;16;;;
AADOW;5;;;
AADRIAN;4;;;
AADU;9;;;
AADVIK;15;;;
AAED;12;;;
AAGAARD;32;;;
AAGAM;2;;;
AAGE;302;;;
AAGNEY;2;;;
AAHAAN;4;;;
AAHAN;4;;;
AAHED;2;;;
AAHIL;41;;;
AAHNIK;2;;;
AAID;4;;;
AAJI;5;;;
AAKARSH;3;;;
AAKASH;23;;;
AAKE;13;;;
AAKEF;3;;;
AAKIF;3;;;
AAKJAER;2;;;
AAKJÆR;2;;;
AAKO;11;;;
AAKOOL;2;;;
AAL;4;;;
AALAM;2;;;
AALBERT;2;;;
AALE;7;;;
AALEX;2;;;
AALI;3;;;
AALIN;4;;;
AALIYAN;4;;;
AALL;2;;;
AALYAN;2;;;
AAMAND;4;;;
AAMAR;4;;;
AAMEEN;3;;;
AAMEN;2;;;
AAMER;39;;;
AAMIN;5;;;
AAMIR;95;;;
AAMOD;2;;;
AAMOS;3;;;
AAMR;2;;;
AANAS;2;;;
AANTA;3;;;
AANUND;2;;;
AAPELI;20;;;
AAPO;10;;;
AAPPO;3;;;
AAPRAHAM;3;;;
AAPRAMI;5;;;
AAQIB;3;;;
AAQIL;3;;;
AAR;3;;;
AARADHYA;2;;;
AARAF;4;;;
AARAIZ;3;;;
AARAN;5;;;
AARANSH;2;;;
AARAS;2;;;
AARASH;2;;;
AARAV;77;;;
AARE;38;;;
AAREF;5;;;
AAREN;2;;;
AARESTRUP;2;;;
AAREZ;2;;;
AARI;5;;;
AARIAN;5;;;
AARIB;3;;;
AARIC;2;;;
AARIF;3;;;
AARIN;5;;;
AARIS;3;;;
AARISH;8;;;
AARIT;2;;;
AARIV;8;;;
AARIZ;40;;;
AARNE;364;;;
AARNI;23;;;
AARNIK;4;;;
AARNO;100;;;
AARNOUD;2;;;
AARO;137;;;
AARON;2 333;;;
AARRE;179;;;
AARRON;2;;;
AARSET;3;;;
AART;14;;;
AARTO;9;;;
AARUSH;35;;;
AARYA;6;;;
AARYAMAN;2;;;
AARYAN;30;;;
AARYAV;2;;;
AARÓN;18;;;
AAS;8;;;
AASEE;2;;;
AASEM;6;;;
AASHAR;2;;;
AASHIR;3;;;
AASHISH;8;;;
AASHRAY;4;;;
AASHUTOSH;2;;;
AASIF;2;;;
AASIM;7;;;
AASMUND;2;;;
AASO;3;;;
AASR;2;;;
AASSEM;3;;;
AATA;2;;;
AATAMI;6;;;
AATE;6;;;
AATEF;4;;;
AATHIRAN;2;;;
AATHVIK;2;;;
AATI;2;;;
AATIF;4;;;
AATIR;2;;;
AATON;2;;;
AATOS;281;;;
AATTO;31;;;
AATU;11;;;
AAVO;7;;;
AAVYAN;4;;;
AAWAT;4;;;
AAYAD;2;;;
AAYAN;44;;;
AAYANSH;12;;;
AAYDEN;2;;;
AAYID;2;;;
AAYUSH;15;;;
AAYUSHMAN;2;;;
AAZAR;2;;;
AB;6;;;
ABA;11;;;
ABA-NUUR;4;;;
ABAADIR;6;;;
ABAAN;3;;;
ABAAS;38;;;
ABABACAR;7;;;
ABABACARR;4;;;
ABABAKER;3;;;
ABABAKIR;3;;;
ABABAKR;4;;;
ABAD;18;;;
ABADA;5;;;
ABADI;30;;;
ABADIR;12;;;
ABADRAHMAN;3;;;
ABAI;3;;;
ABAKAR;24;;;
ABAKER;10;;;
ABAKIR;9;;;
ABAKR;6;;;
ABAL;3;;;
ABALFAZL;3;;;
ABALI;3;;;
ABAN;16;;;
ABANDA;2;;;
ABANG;2;;;
ABANOB;51;;;
ABANOUB;58;;;
ABAR;3;;;
ABAS;271;;;
ABASE;4;;;
ABASEEN;4;;;
ABASI;2;;;
ABASIN;8;;;
ABASS;76;;;
ABAT;2;;;
ABATE;19;;;
ABATHAR;2;;;
ABATHER;2;;;
ABAY;15;;;
ABAYAH;4;;;
ABAYNEH;2;;;
ABAYOMI;16;;;
ABAZ;30;;;
ABAZAR;6;;;
ABAZER;5;;;
ABBA;12;;;
ABBABIYA;2;;;
ABBAD;2;;;
ABBAS;2 780;;;
ABBAS-ALI;2;;;
ABBASALI;12;;;
ABBASI;3;;;
ABBASS;33;;;
ABBAY;3;;;
ABBDI;2;;;
ABBE;1 499;;;
ABBED;8;;;
ABBES;10;;;
ABBEY;9;;;
ABBI;9;;;
ABBO;24;;;
ABBOD;11;;;
ABBODI;3;;;
ABBOOD;76;;;
ABBOODI;6;;;
ABBOS;8;;;
ABBOT;5;;;
ABBOTT;4;;;
ABBOUD;104;;;
ABBOUDY;5;;;
ABBU;4;;;
ABBY;18;;;
ABBÉS;2;;;
ABD;1 040;;;
ABD ALAZIZ;3;;;
ABD ALHADI;2;;;
ABD ALKADER;2;;;
ABD ALLAH;2;;;
ABD ALRAHIM;2;;;
ABD ALRAHMAN;15;;;
ABD ALSALAM;2;;;
ABD ELRAHMAN;2;;;
ABD-AL;5;;;
ABD-ALAZIZ;2;;;
ABD-ALFATAH;3;;;
ABD-ALHAMEED;2;;;
ABD-ALKARIM;2;;;
ABD-ALLAH;9;;;
ABD-ALRAHIM;2;;;
ABD-ALRAHMAN;9;;;
ABD-ALRAZAK;2;;;
ABD-ALSALAM;3;;;
ABD-ALSATAR;2;;;
ABD-EL;4;;;
ABDA;4;;;
ABDAH;4;;;
ABDAI;3;;;
ABDAL;69;;;
ABDAL-AZIZ;2;;;
ABDAL-KARIM;2;;;
ABDAL-RAHMAN;2;;;
ABDALA;95;;;
ABDALAA;7;;;
ABDALABAAS;2;;;
ABDALAH;47;;;
ABDALAHAD;11;;;
ABDALAHI;2;;;
ABDALAMEER;2;;;
ABDALAMEIR;2;;;
ABDALAMIR;4;;;
ABDALATEF;2;;;
ABDALATIF;2;;;
ABDALAWEL;4;;;
ABDALAZEEZ;5;;;
ABDALAZEZ;9;;;
ABDALAZIM;3;;;
ABDALAZIZ;47;;;
ABDALBAQI;2;;;
ABDALBARI;3;;;
ABDALBASET;2;;;
ABDALBAST;2;;;
ABDALE;32;;;
ABDALELAH;3;;;
ABDALFADY;3;;;
ABDALFATAH;19;;;
ABDALFATTAH;3;;;
ABDALGHANI;7;;;
ABDALHA;3;;;
ABDALHADE;3;;;
ABDALHADI;19;;;
ABDALHAFED;2;;;
ABDALHAFEEZ;2;;;
ABDALHAFETH;2;;;
ABDALHAI;2;;;
ABDALHAKIM;7;;;
ABDALHALIM;4;;;
ABDALHAMED;3;;;
ABDALHAMEED;5;;;
ABDALHAMID;10;;;
ABDALHAMZA;3;;;
ABDALHASSAN;2;;;
ABDALHAY;3;;;
ABDALHKIM;3;;;
ABDALI;3;;;
ABDALJABAR;5;;;
ABDALJALEEL;2;;;
ABDALJALIL;4;;;
ABDALKADER;13;;;
ABDALKADR;2;;;
ABDALKAREEM;19;;;
ABDALKAREM;4;;;
ABDALKARIM;40;;;
ABDALKHADER;2;;;
ABDALKHALEK;2;;;
ABDALKREEM;2;;;
ABDALKREM;2;;;
ABDALKRIM;2;;;
ABDALL;3;;;
ABDALLA;932;;;
ABDALLAH;1 054;;;
ABDALLAHI;5;;;
ABDALLATEEF;2;;;
ABDALLATEF;2;;;
ABDALLATIF;10;;;
ABDALLE;48;;;
ABDALLH;7;;;
ABDALLHA;2;;;
ABDALLMAGEED;2;;;
ABDALLTEF;2;;;
ABDALLUHI;2;;;
ABDALMAJED;3;;;
ABDALMAJEED;4;;;
ABDALMAJID;5;;;
ABDALMALEK;7;;;
ABDALMALIK;5;;;
ABDALMALK;2;;;
ABDALMASEH;3;;;
ABDALMASIH;3;;;
ABDALMENEM;3;;;
ABDALMOUMEN;2;;;
ABDALMUTI;4;;;
ABDALNASER;8;;;
ABDALNASSER;10;;;
ABDALNOUR;2;;;
ABDALQADER;12;;;
ABDALQADIR;14;;;
ABDALRAHEEM;2;;;
ABDALRAHEM;2;;;
ABDALRAHIM;19;;;
ABDALRAHMAN;153;;;
ABDALRAOF;2;;;
ABDALRAOOF;4;;;
ABDALRAOUF;6;;;
ABDALRASOUL;2;;;
ABDALRASUL;2;;;
ABDALRAZAK;11;;;
ABDALRAZAQ;2;;;
ABDALRAZZAK;2;;;
ABDALREDAH;2;;;
ABDALRHMAN;26;;;
ABDALROHMAN;3;;;
ABDALRZAK;5;;;
ABDALSALAM;29;;;
ABDALSAMAD;2;;;
