;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
A;42;62,2;;
AABA;2;-;;
AABHA;2;-;;
AADA;14;15,7;;
AADHIRA;8;-;;
AADHYA;36;5,3;;
AADITRI;4;-;;
AADRIKA;3;-;;
AADRITA;2;-;;
AADRITI;4;-;;
AADVI;2;-;;
AADVIKA;8;-;;
AADYA;30;6,9;;
AAESHA;3;-;;
AAFIA;4;-;;
AAFIYA;2;-;;
AAFIYAH;2;-;;
AAFJE;2;-;;
AAFKE;4;-;;
AAGJE;2;-;;
AAGOT;21;75,8;;
AAHANA;7;-;;
AAHD;3;-;;
AAIDA;4;-;;
AAIDAH;4;-;;
AAILA;4;-;;
AAIMA;7;-;;
AAIRA;9;-;;
AAIRAH;8;-;;
AAISHA;26;22;;
AAISHAH;2;-;;
AAIZA;3;-;;
AAJA;2;-;;
AAKANKSHA;9;-;;
AAKRITI;4;-;;
AALA;15;25,4;;
AALAA;11;22,6;;
AALEYAH;11;8,7;;
AALIA;18;20,2;;
AALIAH;3;-;;
AALIYA;56;12;;
AALIYAH;264;8,7;;
AALTJE;4;-;;
AALYA;3;-;;
AAMAL;2;-;;
AAMANDA;2;-;;
AAMENA;5;-;;
AAMINA;59;33,8;;
AAMINAH;5;-;;
AAMINO;13;40,2;;
AAMIRA;4;-;;
AAMNA;13;17,7;;
AAMNEH;2;-;;
AAMU;3;-;;
AAN;6;-;;
AANA;4;-;;
AANCHAL;2;-;;
AANIKA;2;-;;
AANNA;3;-;;
AANSHI;2;-;;
AANVI;6;-;;
AANYA;29;7,3;;
AARA;2;-;;
AARABHI;2;-;;
AARADHANA;2;-;;
AARADHYA;25;6;;
AARATI;3;-;;
AARATRIKA;2;-;;
AARAVI;4;-;;
AAREN;3;-;;
AARIA;3;-;;
AARICIA;5;-;;
AARIFAH;2;-;;
AARIKA;4;-;;
AARINI;2;-;;
AARNA;32;4,8;;
AAROHI;14;8,1;;
AARON;7;-;;
AARTHI;7;-;;
AARTHY;2;-;;
AARTI;15;38,8;;
AARUHI;3;-;;
