;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda män 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
A;120;46;;
AABAN;3;-;;
AABID;4;-;;
AAD;2;-;;
AADAM;21;16,2;;
AADAN;16;32,7;;
AADEL;9;-;;
AADEN;6;-;;
AADHAV;2;-;;
AADHIRAN;4;-;;
AADHRIT;2;-;;
AADHVIK;6;-;;
AADI;11;8,9;;
AADIL;17;14,9;;
AADIT;2;-;;
AADITHYA;3;-;;
AADITYA;6;-;;
AADO;3;-;;
AADRIAN;3;-;;
AADU;3;-;;
AADVIK;15;5,1;;
AAED;9;-;;
AAGE;58;75,7;;
AAGNEY;2;-;;
AAHAAN;4;-;;
AAHAN;4;-;;
AAHED;2;-;;
AAHIL;29;5,9;;
AAHNIK;2;-;;
AAID;4;-;;
AAKARSH;3;-;;
AAKASH;20;27,7;;
AAKE;2;-;;
AAKIF;3;-;;
AAKO;8;-;;
AALE;3;-;;
AALIYAN;3;-;;
AAMAR;2;-;;
AAMER;33;39,4;;
AAMIR;66;30,4;;
AAMOS;2;-;;
AANAS;2;-;;
AAPELI;3;-;;
AAPO;5;-;;
AARADHYA;2;-;;
AARAF;4;-;;
AARAN;5;-;;
AARANSH;2;-;;
AARAS;2;-;;
AARASH;2;-;;
AARAV;75;8,1;;
AARE;26;60;;
AAREF;2;-;;
AAREZ;2;-;;
AARI;4;-;;
AARIAN;5;-;;
AARIB;2;-;;
AARIF;2;-;;
AARIN;5;-;;
AARISH;7;-;;
AARIT;2;-;;
AARIV;7;-;;
AARIZ;36;5,7;;
AARNE;129;72,3;;
AARNI;9;-;;
AARNIK;4;-;;
AARNO;46;73;;
AARO;50;66;;
AARON;1 645;13,5;;
AARÓN;12;9,5;;
AARRE;57;72,2;;
AARRON;2;-;;
AART;11;58,7;;
AARTO;4;-;;
AARUSH;34;8;;
AARYA;6;-;;
AARYAMAN;2;-;;
AARYAN;26;11;;
AARYAV;2;-;;
AASEM;4;-;;
AASHAR;2;-;;
AASHIR;3;-;;
AASHISH;8;-;;
AASHRAY;3;-;;
AASHUTOSH;2;-;;
AASIF;2;-;;
AASIM;7;-;;
AASO;2;-;;
AASR;2;-;;
AASSEM;3;-;;
AATE;4;-;;
AATEF;2;-;;
AATHVIK;2;-;;
AATIF;3;-;;
AATIR;2;-;;
AATOS;27;61,2;;
AATTO;9;-;;
AATU;7;-;;
AAVO;7;-;;
AAVYAN;3;-;;
AAWAT;2;-;;
AAYAD;2;-;;
AAYAN;40;6,3;;
AAYANSH;12;3,8;;
AAYUSH;15;20,8;;
AAYUSHMAN;2;-;;
AAZAR;2;-;;
AB;4;-;;
ABA;7;-;;
ABAADIR;2;-;;
ABAAN;3;-;;
ABAAS;23;28,2;;
ABABACAR;7;-;;
ABABACARR;4;-;;
ABAD;9;-;;
ABADA;4;-;;
ABADI;14;34,9;;
ABADIR;7;-;;
ABAKAR;3;-;;
ABAKIR;9;-;;
ABAL;3;-;;
ABALFAZL;3;-;;
ABAN;16;22,8;;
ABANOB;42;12,2;;
ABANOUB;51;16,8;;
ABAS;176;29;;
ABASE;3;-;;
ABASEEN;4;-;;
ABASI;2;-;;
ABASIN;3;-;;
ABASS;37;34,7;;
ABATE;3;-;;
ABATHER;2;-;;
ABAY;4;-;;
ABAYOMI;8;-;;
ABAZ;25;51,6;;
ABAZAR;5;-;;
ABAZER;4;-;;
ABBA;6;-;;
ABBAS;1 503;36,2;;
ABBASALI;12;52,5;;
ABBAS-ALI;2;-;;
ABBASS;18;49,5;;
ABBE;1 277;11,6;;
ABBED;3;-;;
ABBES;5;-;;
ABBEY;6;-;;
ABBI;4;-;;
ABBOD;6;-;;
ABBOS;8;-;;
ABBOT;2;-;;
ABBOUD;74;44,6;;
ABBY;15;31;;
ABD;623;28,9;;
ABD ALAZIZ;3;-;;
ABD ALHADI;2;-;;
ABD ALKADER;2;-;;
ABD ALLAH;2;-;;
ABD ALRAHIM;2;-;;
ABD ALRAHMAN;15;11,8;;
ABD ALSALAM;2;-;;
ABD ELRAHMAN;2;-;;
ABDAL;49;37,9;;
ABD-AL;2;-;;
ABDALA;60;27,4;;
ABDALAA;7;-;;
ABDALAH;30;30,5;;
ABDALAHAD;7;-;;
ABDALATEF;2;-;;
ABDALATIF;2;-;;
ABDALAZEEZ;4;-;;
ABDALAZEZ;8;-;;
ABDALAZIM;2;-;;
ABDALAZIZ;29;29,6;;
ABDALBARI;2;-;;
ABDALBASET;2;-;;
ABDALBAST;2;-;;
ABDALE;19;24,8;;
ABDALFATAH;8;-;;
ABDALFATTAH;2;-;;
ABDALGHANI;2;-;;
ABDALHADE;2;-;;
ABDALHADI;17;26,2;;
ABDALHAI;2;-;;
ABDALHAKIM;7;-;;
ABDALHALIM;2;-;;
ABDALHAMED;2;-;;
ABDALHAMEED;5;-;;
ABDALHAMID;5;-;;
ABDALHAY;3;-;;
ABDALJABAR;3;-;;
ABDALJALIL;3;-;;
ABDALKADER;10;28,8;;
ABDALKADR;2;-;;
ABDALKAREEM;5;-;;
ABDALKAREM;4;-;;
ABDALKARIM;29;27,3;;
ABDAL-KARIM;2;-;;
ABD-ALKARIM;2;-;;
ABDALKHALEK;2;-;;
ABDALKREM;2;-;;
ABDALKRIM;2;-;;
ABDALLA;388;30,7;;
ABDALLAH;640;28,9;;
ABD-ALLAH;8;-;;
ABDALLAHI;3;-;;
ABDALLATEF;2;-;;
ABDALLATIF;6;-;;
ABDALLE;31;24;;
ABDALLH;4;-;;
ABDALLTEF;2;-;;
ABDALMAJEED;2;-;;
ABDALMAJID;2;-;;
ABDALMALEK;7;-;;
ABDALMALIK;4;-;;
ABDALMALK;2;-;;
ABDALMASEH;3;-;;
ABDALMASIH;3;-;;
ABDALMENEM;3;-;;
ABDALMOUMEN;2;-;;
ABDALMUTI;2;-;;
ABDALNASER;6;-;;
ABDALNASSER;6;-;;
ABDALNOUR;2;-;;
ABDALQADER;10;29,2;;
ABDALRAHIM;14;28,3;;
ABD-ALRAHIM;2;-;;
ABDALRAHMAN;120;19,3;;
ABDAL-RAHMAN;2;-;;
ABD-ALRAHMAN;7;-;;
ABDALRAOUF;5;-;;
ABDALRAZAK;4;-;;
ABDALRAZZAK;2;-;;
ABDALRHMAN;23;21;;
ABDALROHMAN;3;-;;
ABDALRZAK;4;-;;
ABDALSALAM;20;26,5;;
ABD-ALSALAM;3;-;;
ABD-ALSATAR;2;-;;
ABDALSLAM;2;-;;
ABDALSTAR;2;-;;
ABDALTEF;2;-;;
ABDALWAHAB;5;-;;
ABDALWAHID;2;-;;
ABDALZAHRA;2;-;;
ABDARAHMAN;5;-;;
ABDARHMAN;2;-;;
ABDASALAM;2;-;;
ABDDALLAH;2;-;;
ABDE;5;-;;
ABDEAZIZ;2;-;;
ABDEEN;2;-;;
ABDEL;246;40,6;;
ABDEL AZIZ;2;-;;
ABDEL FATTAH;2;-;;
ABDEL KARIM;7;-;;
ABDEL RAHMAN;9;-;;
ABDEL SALAM;2;-;;
ABDEL WAHAB;2;-;;
ABDELA;18;29,2;;
ABDELAAL;2;-;;
ABDELAALI;4;-;;
ABDELAAZIZ;4;-;;
ABDELADIM;2;-;;
ABDELAH;2;-;;
ABDELAHAD;17;58;;
ABDEL-AHAD;2;-;;
ABDELALI;28;46,4;;
ABDELALIM;4;-;;
ABDELAMIR;5;-;;
ABDELASIS;2;-;;
ABDELATI;3;-;;
ABDELATIF;9;-;;
ABDELAZIM;5;-;;
ABDELAZIZ;142;42,3;;
ABDELBAGI;2;-;;
ABDELBAKI;4;-;;
ABDELBARI;4;-;;
ABDELBASET;5;-;;
ABDELBASIT;4;-;;
ABDELBASSET;6;-;;
ABDELBASSIT;2;-;;
ABDELDJALIL;3;-;;
ABDELELAH;2;-;;
ABDELFATAH;13;41,9;;
ABDELFATTAH;20;46,8;;
ABDELFETTAH;3;-;;
ABDELGADER;4;-;;
ABDELGADIR;9;-;;
ABDELGALIL;2;-;;
ABDELGHAFOUR;3;-;;
ABDELGHANI;30;44,2;;
ABDEL-GHANI;2;-;;
ABDELHADI;29;34,8;;
ABDELHADY;4;-;;
ABDELHAFEEZ;3;-;;
ABDELHAFID;11;53,5;;
ABDELHAFIDH;2;-;;
ABDELHAFIZ;12;32,3;;
ABDELHAI;2;-;;
ABDELHAK;29;55,9;;
ABDELHAKEM;2;-;;
ABDELHAKIM;36;43,5;;
ABDEL-HAKIM;3;-;;
ABDELHALEEM;2;-;;
ABDELHALIM;14;48;;
ABDELHAMID;49;40;;
ABDELHAQ;8;-;;
ABDELHAY;10;44,6;;
ABDELILAH;35;47;;
ABDEL-ILAH;6;-;;
ABDELILLAH;7;-;;
ABDELJABBAR;9;-;;
ABDELJALIL;10;43,8;;
ABDELJAWAD;3;-;;
ABDELJELIL;4;-;;
ABDELKABIR;2;-;;
ABDELKADER;124;51,3;;
ABDELKADIR;13;34,3;;
ABDELKADR;3;-;;
ABDELKAFI;2;-;;
ABDELKAMAL;2;-;;
ABDELKAREM;4;-;;
ABDELKARIM;83;41,2;;
ABDEL-KARIM;4;-;;
ABDELKBIR;2;-;;
ABDELKEBIR;6;-;;
ABDELKERIM;15;35,5;;
ABDELKHADIR;2;-;;
ABDELKHALAK;2;-;;
ABDELKHALEK;7;-;;
ABDELKRIM;37;55,4;;
ABDELLA;54;38,7;;
ABDELLAH;91;47,2;;
ABDELLATEEF;2;-;;
ABDELLATIF;63;51,5;;
ABDEL-LATIF;3;-;;
ABDELLAZIZ;6;-;;
ABDELMADJID;5;-;;
ABDELMAGED;2;-;;
ABDELMAJED;6;-;;
ABDELMAJID;35;56;;
ABDELMALEK;16;32,7;;
ABDELMALIK;9;-;;
ABDELMASIH;5;-;;
ABDELMASSIH;11;44,6;;
ABDELMENEM;3;-;;
ABDELMESIH;2;-;;
ABDELMESSIH;2;-;;
ABDELMJID;4;-;;
ABDELMOHSEN;2;-;;
ABDELMOMEN;2;-;;
ABDELMONEIM;5;-;;
ABDELMONEM;6;-;;
ABDELMONIM;2;-;;
ABDELMOUNAIM;3;-;;
ABDELMOUNIM;3;-;;
ABDELMOUTALIB;2;-;;
ABDELMUNEM;3;-;;
ABDELNASER;4;-;;
ABDELNASSER;4;-;;
ABDELNASSIR;4;-;;
ABDELNOOR;2;-;;
ABDELNOUR;3;-;;
ABDELOUAHAB;7;-;;
ABDELOUAHED;10;57,1;;
ABDELOUAHHAB;2;-;;
ABDELOUAHID;8;-;;
ABDELQADER;5;-;;
ABDELRAHEEM;2;-;;
ABDELRAHIM;21;34,5;;
ABDELRAHMAN;200;24,5;;
ABDEL-RAHMAN;5;-;;
ABDELRAHMEN;2;-;;
ABDELRAMAN;2;-;;
ABDELRAOF;2;-;;
ABDELRAOUF;6;-;;
ABDELRASHID;4;-;;
ABDELRAZAG;2;-;;
ABDELRAZAK;4;-;;
ABDELRAZEK;5;-;;
ABDELRAZIK;2;-;;
ABDELRAZZAK;4;-;;
ABDELREHIM;2;-;;
ABDELREZAK;4;-;;
ABDELRHANI;2;-;;
ABDELRHMAN;3;-;;
ABDELSALAM;20;38,8;;
ABDEL-SALAM;3;-;;
ABDELSAMAD;2;-;;
ABDELSATAR;4;-;;
ABDELSATTAR;4;-;;
ABDELTIF;2;-;;
ABDELWAHAB;28;42,6;;
ABDELWAHAD;3;-;;
ABDELWAHEB;2;-;;
ABDELWAHED;5;-;;
ABDELWASIE;3;-;;
ABDELWEHAB;2;-;;
ABDELWHAB;2;-;;
ABDENACER;2;-;;
ABDENBI;3;-;;
ABDENNABI;2;-;;
ABDENNACER;2;-;;
ABDENNACEUR;3;-;;
ABDENNOUR;10;40,4;;
ABDENOR;2;-;;
ABDENOUR;10;43,2;;
ABDENUR;3;-;;
ABDERAHIM;4;-;;
ABDERAHMAN;10;25;;
ABDERAHMANE;2;-;;
ABDERAMAN;2;-;;
ABDERAZAK;2;-;;
ABDERRACHID;2;-;;
ABDERRAHIM;71;51,9;;
ABDERRAHMAN;35;44,4;;
ABDERRAHMANE;44;50,7;;
ABDERRAHMEN;2;-;;
ABDERRAHMENE;3;-;;
ABDERRAOUF;2;-;;
ABDERRAZAK;24;57,6;;
ABDERRAZEK;4;-;;
ABDERRAZZAK;6;-;;
ABDERREZAK;5;-;;
ABDESALAM;3;-;;
ABDESAMAD;2;-;;
ABDESLAM;24;62;;
ABDESLEM;2;-;;
ABDESSADEK;5;-;;
ABDESSALAM;5;-;;
ABDESSALEM;7;-;;
ABDESSAMAD;24;39,9;;
ABDESSATAR;5;-;;
ABDESSATTAR;2;-;;
ABDESSELAM;5;-;;
ABDESSLAM;7;-;;
ABDESSLEM;2;-;;
ABDI;1 147;40,5;;
ABDI AZIZ;10;19;;
ABDI FATAAH;2;-;;
ABDI FATAH;5;-;;
ABDI HAMID;3;-;;
ABDI LATIF;2;-;;
ABDI MALIK;4;-;;
ABDI NAASIR;2;-;;
ABDI NAJIIB;2;-;;
ABDI NASIR;2;-;;
ABDI QADIR;2;-;;
ABDI QANI;3;-;;
ABDI RAHMAN;11;16,8;;
ABDI RASHID;4;-;;
ABDI RIZAK;2;-;;
ABDI SAMAD;2;-;;
ABDI SHAKUR;3;-;;
ABDI SHAKUUR;2;-;;
ABDIADIIM;2;-;;
ABDIASIIS;6;-;;
ABDIASIS;77;24,2;;
ABDIAZIIZ;8;-;;
ABDIAZIS;3;-;;
ABDIAZIZ;296;28,7;;
ABDI-AZIZ;8;-;;
ABDIAZZIZ;2;-;;
ABDIBAASID;3;-;;
ABDIBARI;2;-;;
ABDIBASID;21;15,7;;
ABDIBASIT;6;-;;
ABDICASIIS;3;-;;
ABDICASIS;3;-;;
ABDIDAHIR;3;-;;
ABDIDEEQ;2;-;;
ABDIFADIL;2;-;;
ABDIFATAAH;11;30,2;;
ABDIFATAAX;2;-;;
ABDIFATAH;479;26,3;;
ABDI-FATAH;6;-;;
ABDIFATHA;3;-;;
ABDIFATTAH;4;-;;
ABDIFETAH;8;-;;
ABDIFITAAH;5;-;;
ABDIFITAH;63;27;;
ABDIGADAR;5;-;;
ABDIGADIR;6;-;;
ABDIGAFAR;6;-;;
ABDIGANI;47;30;;
ABDIGHANI;2;-;;
ABDIHAAFID;2;-;;
ABDIHAFID;62;16,5;;
ABDI-HAFID;2;-;;
ABDIHAFIID;3;-;;
ABDIHAFIT;2;-;;
ABDIHAKIIM;8;-;;
ABDIHAKIIN;5;-;;
ABDIHAKIM;134;27,7;;
ABDI-HAKIM;2;-;;
ABDIHAKIM SAID;2;-;;
ABDIHAKIN;45;22,9;;
ABDIHALIM;11;18,8;;
ABDIHAMID;45;18,1;;
ABDIHAMIID;4;-;;
ABDII;2;-;;
ABDIJABAR;29;23,1;;
ABDIJABBAR;3;-;;
ABDIJALIL;6;-;;
ABDIJAMAL;3;-;;
ABDIJIBAAR;3;-;;
ABDIJIBAR;9;-;;
ABDIKAADIR;2;-;;
ABDIKAAFI;11;21,5;;
ABDIKADAR;20;25,1;;
ABDIKADER;12;34,7;;
ABDIKADIR;158;34,7;;
ABDIKAFAR;2;-;;
ABDIKAFI;61;23,3;;
ABDIKALIK;3;-;;
ABDIKALIQ;3;-;;
ABDIKAMIL;5;-;;
ABDIKANI;57;24;;
ABDIKARIIM;13;21,7;;
ABDIKARIIN;5;-;;
ABDIKARIM;222;30,7;;
ABDI-KARIM;2;-;;
ABDIKARIN;55;23,3;;
ABDIKENI;2;-;;
ABDIKHADAR;32;26,7;;
ABDIKHADER;3;-;;
ABDIKHADIR;5;-;;
ABDIKHAFAR;2;-;;
ABDIKHALAQ;4;-;;
ABDIKHALIK;6;-;;
ABDIKHALIQ;13;21,2;;
ABDIKHANI;12;20,5;;
ABDIKRIM;2;-;;
ABDIL;9;-;;
ABDILAAHI;11;34;;
ABDILADHIF;3;-;;
ABDILADIF;24;23,1;;
ABDILADIIF;6;-;;
ABDILAHI;43;29,6;;
ABDILATIF;8;-;;
ABDILAZIZ;6;-;;
ABDILKADIR;5;-;;
ABDILLAH;5;-;;
ABDILLAHI;81;30,7;;
ABDILLATIF;2;-;;
ABDILMAJID;2;-;;
ABDILRAHMAN;3;-;;
ABDIMAALIK;8;-;;
ABDIMAHAD;12;21,7;;
ABDIMAIN;3;-;;
ABDIMAJIB;2;-;;
ABDIMAJID;50;20;;
ABDIMAJIID;9;-;;
ABDIMALEK;3;-;;
ABDIMALIG;5;-;;
ABDIMALIK;141;15,3;;
ABDI-MALIK;6;-;;
ABDIMANAN;3;-;;
ABDIMUDALIB;10;17,6;;
ABDIMUHSIN;2;-;;
ABDIMUNIM;3;-;;
ABDIN;16;30,5;;
ABDINAASIR;13;26,2;;
ABDINAFA;7;-;;
ABDINAFAC;2;-;;
ABDINAJIB;43;19,2;;
ABDINAJIIB;2;-;;
ABDINASER;12;28,3;;
ABDINASIR;296;27;;
ABDI-NASIR;4;-;;
ABDINASSER;8;-;;
ABDINASSIR;7;-;;
ABDINEJIB;4;-;;
ABDINOOR;11;38,7;;
ABDINOR;4;-;;
ABDINOUR;4;-;;
ABDINUR;42;32,8;;
ABDI-NUR;2;-;;
ABDINUUR;10;40,8;;
ABDIQAADIR;9;-;;
ABDIQADAR;18;20,4;;
ABDIQADER;4;-;;
ABDIQADIR;50;29,6;;
ABDIQAFAR;24;21,2;;
ABDIQALIK;2;-;;
ABDIQALIQ;9;-;;
ABDIQANI;161;24,2;;
ABDIQEYS;3;-;;
ABDIRABI;12;20,7;;
ABDIRACHID;2;-;;
ABDIRAHAMAN;11;23;;
ABDIRAHEM;2;-;;
ABDIRAHIIM;8;-;;
ABDIRAHIIN;2;-;;
ABDIRAHIM;176;22,9;;
ABDI-RAHIM;2;-;;
ABDIRAHIN;20;18,7;;
ABDIRAHMAAN;40;17,8;;
ABDIRAHMAN;1 912;23,1;;
ABDI-RAHMAN;2;-;;
ABDIRAHMAN ABDULLAHI;2;-;;
ABDIRAHMAN OMAR;2;-;;
ABDIRAMAN;2;-;;
ABDIRAOUF;2;-;;
ABDIRASAK;13;27,9;;
ABDIRASAQ;19;23,5;;
ABDIRASHID;226;33,7;;
ABDIRASHIID;18;32,2;;
ABDIRAUF;6;-;;
ABDIRAXMAAN;2;-;;
ABDIRAXMAN;5;-;;
ABDIRAZAK;53;30,4;;
ABDIRAZAQ;10;31;;
ABDIRESAK;2;-;;
ABDIRESHID;2;-;;
ABDIREZAK;5;-;;
ABDIRHAMAN;3;-;;
ABDIRHMAN;4;-;;
ABDIRIHIN;2;-;;
ABDIRIHMAN;11;12,9;;
ABDIRISAAK;6;-;;
ABDIRISAAQ;32;32,9;;
ABDIRISACK;6;-;;
ABDIRISAG;3;-;;
ABDIRISAK;144;30,5;;
ABDIRISAKH;4;-;;
ABDIRISAQ;139;25,8;;
ABDIRIZAAK;5;-;;
ABDIRIZACK;3;-;;
ABDIRIZAG;2;-;;
ABDIRIZAH;2;-;;
ABDIRIZAK;222;31,3;;
ABDIRIZAQ;21;25,4;;
ABDIRRAHMAN;3;-;;
ABDIRSAAQ;2;-;;
ABDIRSAQ;2;-;;
ABDIRZAK;3;-;;
ABDISAHAL;5;-;;
ABDISAID;2;-;;
ABDISALAAM;14;26,4;;
ABDISALAAN;12;29,6;;
ABDISALAM;115;30,8;;
ABDI-SALAM;4;-;;
ABDISALAN;95;25;;
ABDISAMAD;85;20;;
ABDI-SAMAD;2;-;;
ABDISAMED;27;22,1;;
ABDISAMET;2;-;;
ABDISATAAR;2;-;;
ABDISATAR;4;-;;
ABDISELAM;3;-;;
ABDISEMED;2;-;;
ABDISHAKOR;2;-;;
ABDISHAKOUR;2;-;;
ABDISHAKUR;155;22,7;;
ABDISHAKUUR;11;35,1;;
ABDISHUKRI;5;-;;
ABDISHUKUR;4;-;;
ABDISSA;2;-;;
ABDIWAAHID;2;-;;
ABDIWADUD;6;-;;
ABDIWADUUD;2;-;;
ABDIWAHAAB;5;-;;
ABDIWAHAB;95;27,1;;
ABDI-WAHAB;3;-;;
ABDIWAHID;45;22,9;;
ABDIWAKIL;2;-;;
ABDIWALI;83;30,4;;
ABDIWASA;8;-;;
ABDIWASAC;5;-;;
ABDIWELI;43;32,1;;
ABDI-WELI;3;-;;
ABDIYARE;5;-;;
ABDIZALAN;2;-;;
ABDL;5;-;;
ABDLA;2;-;;
ABDLAZIZ;2;-;;
ABDLHADI;2;-;;
ABDLKARIM;2;-;;
ABDLLA;2;-;;
ABDLLAH;3;-;;
ABDLMALEK;2;-;;
ABDLRAHMAN;6;-;;
ABDO;195;39,5;;
ABDOALLAH;3;-;;
ABDOH;3;-;;
ABDOL;49;54,6;;
ABDOLA;2;-;;
ABDOLAH;11;37,2;;
ABDOLAHAD;6;-;;
ABDOLALI;8;-;;
ABDOLAMIR;9;-;;
ABDOLAZIM;2;-;;
ABDOLAZIZ;4;-;;
ABDOLHADI;2;-;;
ABDOLHAMID;14;63,1;;
ABDOLHASSAN;3;-;;
ABDOLHOSSEIN;14;64,2;;
ABDOLJABBAR;2;-;;
ABDOLJALIL;2;-;;
ABDOLKAREM;2;-;;
ABDOLKARIM;12;53,4;;
ABDOLKHALEGH;5;-;;
ABDOLL;2;-;;
ABDOLLA;8;-;;
ABDOLLAH;77;52,3;;
ABDOLMAJID;9;-;;
ABDOLMEHDI;2;-;;
ABDOLMONEM;2;-;;
